execution_idx,application,case,version,exception_name,frame_level,search_budget,fitness_function_value,number_of_fitness_evaluations,fitness_function_evolution
1,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,66,"[1.3333333333333333,1][0.0,66]"
2,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,3,"[1.3333333333333333,1][0.0,3]"
3,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,19,"[1.3333333333333333,1][0.0,19]"
4,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,46,"[1.3333333333333333,1][0.0,46]"
5,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,17,"[1.3333333333333333,1][0.0,17]"
6,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,2,"[1.3333333333333333,1][0.0,2]"
7,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,38,"[1.3333333333333333,1][0.0,38]"
8,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,67,"[1.3333333333333333,1][0.0,67]"
9,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,21,"[1.5,1][1.3333333333333333,3][0.0,21]"
10,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,115,"[1.3333333333333333,1][0.0,115]"
11,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,2,"[1.3333333333333333,1][0.0,2]"
12,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,4,"[1.3333333333333333,1][0.0,4]"
13,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,84,"[1.3333333333333333,1][0.0,84]"
14,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,77,"[1.5,1][1.3333333333333333,2][0.0,77]"
15,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,18,"[1.3333333333333333,1][0.0,18]"
16,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,13,"[1.3333333333333333,1][0.0,13]"
17,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,72,"[1.3333333333333333,1][0.0,72]"
18,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,126,"[1.3333333333333333,1][0.0,126]"
19,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,108,"[1.3333333333333333,1][0.0,108]"
20,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,4,"[1.3333333333333333,1][0.0,4]"
21,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,35,"[1.3333333333333333,1][0.0,35]"
22,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,54,"[1.3333333333333333,1][0.0,54]"
23,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,100,"[1.3333333333333333,1][0.0,100]"
24,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,120,"[1.3333333333333333,1][0.0,120]"
25,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,8,"[1.3333333333333333,1][0.0,8]"
26,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,53,"[1.3333333333333333,1][0.0,53]"
27,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,41,"[1.3333333333333333,1][0.0,41]"
28,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,28,"[1.3333333333333333,1][0.0,28]"
29,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,7,"[1.3333333333333333,1][0.0,7]"
30,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,71,"[1.3333333333333333,1][0.0,71]"
1,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,1458,"[1.8333333333333335,1][1.6666666666666665,3][1.6,7][1.3333333333333333,8]"
2,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,1148,"[1.6666666666666665,1][1.6,6][1.3333333333333333,11]"
3,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,1410,"[1.6666666666666665,1][1.3333333333333333,6]"
4,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,1140,"[3.333333333333333,1][1.8333333333333335,3][1.6,8][1.3333333333333333,17]"
5,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,977,"[3.333333333333333,1][1.8333333333333335,2][1.3333333333333333,7]"
6,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,939,"[1.6,1][1.3333333333333333,5]"
7,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,1324,"[1.8333333333333335,1][1.6,5][1.3333333333333333,8]"
8,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,1662,"[3.333333333333333,1][1.6666666666666665,2][1.6,3][1.3333333333333333,7]"
9,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,1177,"[3.333333333333333,1][1.3333333333333333,3]"
10,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,1154,"[3.333333333333333,1][1.8333333333333335,3][1.6666666666666665,8][1.6,9][1.3333333333333333,10]"
11,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,945,"[1.6666666666666665,1][1.3333333333333333,4]"
12,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,1423,"[3.333333333333333,1][1.8333333333333335,2][1.3333333333333333,5]"
13,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,1043,"[3.333333333333333,1][1.6,12][1.3333333333333333,17]"
14,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,1225,"[1.8333333333333335,1][1.3333333333333333,2]"
15,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,1129,"[3.333333333333333,1][1.6666666666666665,2][1.3333333333333333,6]"
16,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,1131,"[1.6,1][1.3333333333333333,15]"
17,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,930,"[1.8333333333333335,1][1.3333333333333333,2]"
18,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,808,"[1.8333333333333335,1][1.6666666666666665,3][1.6,12][1.3333333333333333,18]"
19,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,1273,"[3.333333333333333,1][1.8333333333333335,3][1.6,12][1.3333333333333333,16]"
20,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,799,"[1.8333333333333335,1][1.6666666666666665,4][1.6,5][1.3333333333333333,7]"
21,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,1069,"[1.8333333333333335,1][1.3333333333333333,3]"
22,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,1053,"[3.333333333333333,1][1.6666666666666665,2][1.6,5][1.3333333333333333,7]"
23,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,822,"[1.6666666666666665,1][1.6,5][1.3333333333333333,15]"
24,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,872,"[1.6666666666666665,1][1.6,2][1.3333333333333333,8]"
25,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,1044,"[1.3333333333333333,1]"
26,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,809,"[3.333333333333333,1][1.8333333333333335,2][1.6,3][1.3333333333333333,9]"
27,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,1103,"[1.8333333333333335,1][1.6666666666666665,3][1.6,9][1.3333333333333333,11]"
28,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,1249,"[3.333333333333333,1][1.6,12][1.3333333333333333,17]"
29,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,1423,"[1.6666666666666665,1][1.3333333333333333,4]"
30,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,1246,"[3.333333333333333,1][1.8333333333333335,2][1.6,7][1.3333333333333333,9]"
1,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,1446,"[1.3333333333333333,1]"
2,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,1388,"[1.6666666666666665,1][1.6,4][1.3333333333333333,8]"
3,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,1377,"[1.6666666666666665,1][1.3333333333333333,7]"
4,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,1234,"[3.5,1][1.6666666666666665,3][1.3333333333333333,4]"
5,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,1077,"[1.6,1][1.3333333333333333,6]"
6,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,1110,"[3.333333333333333,1][1.6666666666666665,2][1.6,3][1.3333333333333333,11]"
7,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,1232,"[1.6666666666666665,1][1.3333333333333333,4]"
8,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,1184,"[3.333333333333333,1][1.6666666666666665,2][1.3333333333333333,4]"
9,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,1376,"[1.6666666666666665,1][1.3333333333333333,6]"
10,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,1538,"[1.6666666666666665,1][1.3333333333333333,3]"
11,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,343,"[1.6666666666666665,1][1.3333333333333333,5]"
12,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,1200,"[1.6666666666666665,1][1.3333333333333333,4]"
13,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,1411,"[3.333333333333333,1][1.6666666666666665,2][1.3333333333333333,5]"
14,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,1235,"[1.3333333333333333,1]"
15,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,994,"[3.333333333333333,1][1.6666666666666665,2][1.3333333333333333,5]"
16,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,1237,"[2.0,1][1.6666666666666665,3][1.6,4][1.3333333333333333,9]"
17,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,1028,"[3.333333333333333,1][1.6666666666666665,2][1.3333333333333333,3]"
18,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,1055,"[1.6666666666666665,1][1.3333333333333333,3]"
19,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,1133,"[1.3333333333333333,1]"
20,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,1137,"[3.5,1][1.6666666666666665,2][1.6,3][1.3333333333333333,11]"
21,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,185,"[1.6666666666666665,1][1.6,3][1.3333333333333333,5]"
22,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,887,"[1.6666666666666665,1][1.3333333333333333,4]"
23,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,1206,"[1.6666666666666665,1][1.3333333333333333,6]"
24,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,984,"[3.5,1][1.6666666666666665,2][1.3333333333333333,5]"
25,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,1020,"[3.333333333333333,1][1.3333333333333333,2]"
26,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,1063,"[3.333333333333333,1][1.6666666666666665,2][1.3333333333333333,7]"
27,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,1086,"[1.6666666666666665,1][1.3333333333333333,2]"
28,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,1374,"[1.6666666666666665,1][1.6,4][1.3333333333333333,12]"
29,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,1221,"[1.6666666666666665,1][1.6,2][1.3333333333333333,5]"
30,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,1289,"[1.6,1][1.3333333333333333,4]"
1,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,
2,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,
3,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,
4,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,
5,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,
6,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,
7,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,
8,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,
9,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,
10,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,
11,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,
12,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,
13,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,
14,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,
15,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,
16,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,
17,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,
18,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,
19,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,
20,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,
21,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,
22,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,
23,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,
24,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,
25,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,
26,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,
27,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,
28,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,
29,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,
30,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,
1,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1436,"[5.5,1][5.4,2][5.333333333333333,4][1.3333333333333333,95]"
2,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1427,"[5.75,1][5.333333333333333,3][5.0,5][1.3333333333333333,6]"
3,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1524,"[5.75,1][5.333333333333333,2][1.3333333333333333,265]"
4,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1202,"[5.75,1][5.5,4][5.333333333333333,5][1.3333333333333333,119]"
5,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1272,"[5.75,1][5.666666666666666,2][5.333333333333333,3][5.0,121][1.3333333333333333,124]"
6,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1012,"[5.333333333333333,1][1.3333333333333333,5]"
7,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,189,"[5.75,1][5.333333333333333,2][1.3333333333333333,78]"
8,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1169,"[5.75,1][5.333333333333333,2][5.0,3][1.3333333333333333,17]"
9,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1352,"[5.75,1][5.333333333333333,4][1.3333333333333333,7]"
10,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1636,"[5.0,1][1.3333333333333333,2]"
11,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1888,"[5.333333333333333,1][5.0,121][1.3333333333333333,128]"
12,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1328,"[5.75,1][5.4,4][1.3333333333333333,5]"
13,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,325,"[5.75,1][5.333333333333333,3][1.3333333333333333,11]"
14,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1274,"[5.75,1][1.3333333333333333,2]"
15,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1059,"[5.333333333333333,1][1.3333333333333333,48]"
16,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1242,"[5.75,1][5.333333333333333,2][1.3333333333333333,178]"
17,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1417,"[5.333333333333333,1][5.0,157][1.3333333333333333,166]"
18,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1220,"[5.75,1][1.3333333333333333,3]"
19,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,960,"[5.75,1][5.333333333333333,2][1.3333333333333333,115]"
20,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1276,"[5.75,1][1.3333333333333333,2]"
21,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1032,"[5.75,1][5.333333333333333,3][1.3333333333333333,34]"
22,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1021,"[5.75,1][5.333333333333333,2][5.0,17][1.3333333333333333,22]"
23,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,832,"[5.75,1][5.666666666666666,2][5.333333333333333,3][1.3333333333333333,11]"
24,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1360,"[5.75,1][5.5,3][5.333333333333333,6][1.3333333333333333,429]"
25,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1292,"[5.75,1][5.333333333333333,3][1.3333333333333333,5]"
26,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1329,"[5.75,1][5.333333333333333,2][5.0,3][1.3333333333333333,4]"
27,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1411,"[5.75,1][5.333333333333333,4][1.3333333333333333,17]"
28,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1639,"[5.75,1][5.333333333333333,2][1.3333333333333333,399]"
29,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,138,"[5.75,1][5.333333333333333,3][1.3333333333333333,40]"
30,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1005,"[5.333333333333333,1][1.3333333333333333,272]"
1,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]"
2,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]"
3,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]"
4,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]"
5,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]"
6,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]"
7,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]"
8,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]"
9,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]"
10,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]"
11,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]"
12,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]"
13,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]"
14,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]"
15,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,1,62328,0.0,4,"[1.0,1][0.0,4]"
16,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]"
17,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]"
18,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]"
19,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]"
20,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,1,62328,0.0,3,"[1.0,1][0.0,3]"
21,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,1,62328,0.0,2,"[1.0,1][0.0,2]"
22,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,1,62328,0.0,3,"[1.0,1][0.0,3]"
23,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]"
24,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]"
25,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]"
26,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]"
27,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]"
28,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]"
29,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]"
30,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]"
1,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,2,62328,0.0,12,"[2.5,1][1.0,7][0.0,12]"
2,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,2,62328,0.0,10,"[2.5,1][1.6666666666666665,2][1.0,3][0.0,10]"
3,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,2,62328,0.0,38,"[2.5,1][1.0,15][0.0,38]"
4,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,2,62328,0.0,6,"[2.5,1][1.0,4][0.0,6]"
5,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,2,62328,0.0,10,"[2.5,1][1.4999999998835847,2][1.0,5][0.0,10]"
6,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,2,62328,1.0,465,"[1.4999999998835847,1][1.0,4]"
7,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,2,62328,1.0,390,"[1.0,1]"
8,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,2,62328,0.0,14,"[2.5,1][1.0,5][0.0,14]"
9,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,2,62328,1.0,264,"[2.5,1][1.0,9]"
10,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,2,62328,0.0,21,"[2.5,1][1.0,12][0.0,21]"
11,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,2,62328,0.0,9,"[1.6666666666666665,1][1.0,5][0.0,9]"
12,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,2,62328,1.0,402,"[2.5,1][1.0,4]"
13,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,2,62328,0.0,6,"[2.5,1][1.6666666666666665,2][1.0,5][0.0,6]"
14,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,2,62328,0.0,14,"[2.5,1][1.0,2][0.0,14]"
15,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,2,62328,0.0,17,"[1.0,1][0.0,17]"
16,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,2,62328,0.0,7,"[1.0,1][0.0,7]"
17,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,2,62328,1.0,148,"[2.5,1][1.0,2]"
18,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,2,62328,0.0,12,"[2.5,1][1.6666666666666665,5][1.0,6][0.0,12]"
19,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,2,62328,0.0,8,"[2.5,1][1.0,3][0.0,8]"
20,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,2,62328,1.0,358,"[2.5,1][1.0,14]"
21,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,2,62328,0.0,7,"[1.0,1][0.0,7]"
22,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,2,62328,0.0,15,"[2.5,1][1.0,2][0.0,15]"
23,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,2,62328,0.0,16,"[2.5,1][1.0,3][0.0,16]"
24,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,2,62328,0.0,26,"[1.0,1][0.0,26]"
25,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,2,62328,0.0,11,"[1.4999999998835847,1][1.0,5][0.0,11]"
26,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,2,62328,0.0,2,"[1.0,1][0.0,2]"
27,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,2,62328,0.0,15,"[2.5,1][1.0,9][0.0,15]"
28,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,2,62328,0.0,5,"[1.0,1][0.0,5]"
29,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,2,62328,0.0,26,"[2.5,1][1.0,4][0.0,26]"
30,elasticsearch,ES-14457,2.0.0,java.lang.IllegalArgumentException,2,62328,1.0,290,"[2.5,1][1.0,2]"
